participant,condition,voxel_id,BOLD
0,0,0,0.4521330848591272
0,1,0,0.5909341492449742
1,0,0,0.131361608928534
1,1,0,0.14078084783886968
2,0,0,0.459047353571708
2,1,0,0.23641936317637563
3,0,0,0.5183925918774263
3,1,0,0.37634005058529696
4,0,0,0.19456960604249723
4,1,0,0.22009277769615085
5,0,0,0.1983992594466759
5,1,0,-0.09992281001059389
6,0,0,0.536181447806225
6,1,0,0.24452411514174272
7,0,0,0.7358733746036946
7,1,0,0.32655648521530617
8,0,0,0.6282328734630758
8,1,0,0.2306448157198669
9,0,0,0.28276319055388793
9,1,0,0.39887018363383037
10,0,0,0.3359822892028297
10,1,0,0.10865967642594074
11,0,0,0.5094612761119307
11,1,0,0.11833307362242595
12,0,0,0.44690431987569124
12,1,0,0.2082203284635844
13,0,0,0.749170841393795
13,1,0,0.3213069387165999
14,0,0,0.6481566913647936
14,1,0,-0.12509318875330055
15,0,0,0.45192151439356315
15,1,0,0.08871925782289877
16,0,0,0.4809497666856133
16,1,0,0.2757442015511675
17,0,0,0.37357371643573606
17,1,0,-0.22453308326395754
18,0,0,0.4328478926976665
18,1,0,0.3189610918299738
19,0,0,0.38677780678783635
19,1,0,0.17898963295766657
20,0,0,0.4988287776155799
20,1,0,0.23227419685526587
21,0,0,0.6238809088989679
21,1,0,0.11005477646623621
22,0,0,0.6000810462366472
22,1,0,0.307140883492211
23,0,0,0.2313001391958252
23,1,0,0.05237883487409128
24,0,0,0.49477907935730264
24,1,0,0.1761390158166632
25,0,0,0.402117425609113
25,1,0,0.45710403906462266
26,0,0,0.35758737221661263
26,1,0,0.28078496584152296
27,0,0,0.4394195613259999
27,1,0,0.4373679786526626
28,0,0,0.45147869163306853
28,1,0,0.3469927871347576
29,0,0,0.4574419566371623
29,1,0,0.47878250109082043
0,0,1,0.41031317500951275
0,1,1,0.07592177351026871
1,0,1,-0.04460655635715244
1,1,1,0.16081156549759976
2,0,1,0.6547446116286114
2,1,1,0.18683874815890864
3,0,1,0.7072146135031433
3,1,1,0.4292145903563367
4,0,1,0.2427895153019251
4,1,1,0.22474796018557494
5,0,1,0.2757917962714467
5,1,1,0.06457609301803642
6,0,1,0.5150995560107621
6,1,1,0.3438378180224769
7,0,1,0.6741401378853413
7,1,1,0.9135933875646951
8,0,1,0.6436591388875966
8,1,1,0.2870392121622618
9,0,1,0.5260191662796744
9,1,1,0.09755061094108987
10,0,1,-0.09823762429339788
10,1,1,-0.007099889236691526
11,0,1,0.47828740642162176
11,1,1,0.24305502928761735
12,0,1,0.2540896925479992
12,1,1,0.03284278542281452
13,0,1,0.9605717231085527
13,1,1,0.4353543104519109
14,0,1,0.18307535089265464
14,1,1,0.6750166940281901
15,0,1,0.24313756453270174
15,1,1,0.1049296446666712
16,0,1,0.3753428741932596
16,1,1,0.05447430068719569
17,0,1,0.816459465636234
17,1,1,-0.1557539324200259
18,0,1,0.6930391060224271
18,1,1,0.18998531323488088
19,0,1,0.35238528231488314
19,1,1,0.4481210463418699
20,0,1,0.4323064609599556
20,1,1,0.24863863158231903
21,0,1,0.41913747773656107
21,1,1,0.09209025642576385
22,0,1,0.8378842772572155
22,1,1,0.462462561748092
23,0,1,0.4019285441430179
23,1,1,0.140383005831681
24,0,1,0.3799093678085971
24,1,1,0.16823597449419403
25,0,1,0.6218325469708318
25,1,1,0.28163874237984166
26,0,1,0.5017178960139721
26,1,1,0.31079575275874294
27,0,1,0.58722117308723
27,1,1,0.027146492301415803
28,0,1,0.6061410842349583
28,1,1,0.34779562111572043
29,0,1,0.5310408358695281
29,1,1,0.5873939354795561
0,0,2,0.5087227579315877
0,1,2,0.4649195229027433
1,0,2,0.7131648873804552
1,1,2,0.1577311134293434
2,0,2,0.7462255954326
